,flux,lam
0,1.0627567376570429e-16,400.015
1,1.0638114743886787e-16,400.05999999999995
2,1.0648670736673944e-16,400.10499999999996
3,1.0659259638041807e-16,400.15
4,1.0669855446998793e-16,400.195
5,1.068048573161176e-16,400.23999999999995
6,1.0691125362943554e-16,400.28499999999997
7,1.070179349668626e-16,400.33
8,1.0712477120869675e-16,400.37499999999994
9,1.0723181589121254e-16,400.41999999999996
10,1.0733911878052413e-16,400.465
11,1.0744653874150508e-16,400.50999999999993
12,1.0755427126515645e-16,400.55499999999995
13,1.0766207942149921e-16,400.59999999999997
14,1.0777023810438613e-16,400.645
15,1.0787846504356414e-16,400.68999999999994
16,1.0798687058998242e-16,400.73499999999996
17,1.0809534367144372e-16,400.78
18,1.0820419232642627e-16,400.82499999999993
19,1.0831334416785478e-16,400.87
20,1.0842256239688635e-16,400.91499999999996
21,1.0853190277910752e-16,400.9599999999999
22,1.0861229564203143e-16,401.005
23,1.0857832335160741e-16,401.04999999999995
24,1.0853263225592511e-16,401.09499999999997
25,1.0848698817250108e-16,401.14
26,1.0844135716989356e-16,401.18499999999995
27,1.0839578045759258e-16,401.22999999999996
28,1.0835023325089296e-16,401.275
29,1.0830471446792264e-16,401.32
30,1.0825923089496994e-16,401.36499999999995
31,1.0821376958235423e-16,401.40999999999997
32,1.0816836780548529e-16,401.455
33,1.0812299055104947e-16,401.49999999999994
34,1.0807774076081146e-16,401.54499999999996
35,1.0803251139500645e-16,401.59
36,1.079872671452647e-16,401.63499999999993
37,1.0794201758451475e-16,401.67999999999995
38,1.0789685018047257e-16,401.72499999999997
39,1.0785174909846542e-16,401.77
40,1.0780664801645827e-16,401.81499999999994
41,1.0776154693445114e-16,401.85999999999996
42,1.0771647362049328e-16,401.905
43,1.0767151000180441e-16,401.94999999999993
44,1.0762656405369239e-16,401.995
45,1.0758168078859128e-16,402.03999999999996
46,1.0753681457117087e-16,402.0849999999999
47,1.0749200264405701e-16,402.13
48,1.0744722022254451e-16,402.17499999999995
49,1.0740245675018487e-16,402.21999999999997
50,1.0735771675117032e-16,402.265
51,1.0731302668219003e-16,402.30999999999995
52,1.0726847056863993e-16,402.35499999999996
53,1.0722391652048191e-16,402.4
54,1.0717933060627443e-16,402.445
55,1.0713474593785897e-16,402.48999999999995
56,1.0709028034093701e-16,402.53499999999997
57,1.0704585903520108e-16,402.58
58,1.0700142599279261e-16,402.62499999999994
59,1.0695698347580772e-16,402.66999999999996
60,1.0691259997002553e-16,402.715
61,1.0686832504485631e-16,402.75999999999993
62,1.0682406438072776e-16,402.80499999999995
63,1.0677985072885737e-16,402.84999999999997
64,1.0673564832189951e-16,402.895
65,1.0669150859795247e-16,402.93999999999994
66,1.0664781876885818e-16,402.98499999999996
67,1.0662409419997666e-16,403.03
68,1.0661122031599344e-16,403.07499999999993
69,1.0659838433031599e-16,403.12
70,1.0658559529132868e-16,403.16499999999996
71,1.0657281746446987e-16,403.2099999999999
72,1.0656006940548448e-16,403.255
73,1.0654733095221152e-16,403.29999999999995
74,1.0653464029801272e-16,403.34499999999997
75,1.0652195924952636e-16,403.39
76,1.0650930796891339e-16,403.43499999999995
77,1.0649666786764492e-16,403.47999999999996
78,1.0648406297639409e-16,403.525
79,1.0647148650887256e-16,403.57
80,1.0645891741775135e-16,403.61499999999995
81,1.0644636189920675e-16,403.65999999999997
82,1.0643382254317494e-16,403.705
83,1.0642134587015399e-16,403.74999999999994
84,1.0640887883562945e-16,403.79499999999996
85,1.0639644314261038e-16,403.84
86,1.0638401597343168e-16,403.88499999999993
87,1.0637161594940625e-16,403.92999999999995
88,1.0635923067818151e-16,403.97499999999997
89,1.0634687383068603e-16,404.02
90,1.0633455219320822e-16,404.06499999999994
91,1.0632224727557115e-16,404.10999999999996
92,1.0630998700974412e-16,404.155
93,1.0629773185822133e-16,404.19999999999993
94,1.0628549263972331e-16,404.245
95,1.0627325935512947e-16,404.28999999999996
96,1.0626108560628244e-16,404.3349999999999
97,1.0624893401942042e-16,404.38
98,1.0623678243255838e-16,404.42499999999995
99,1.062246308456964e-16,404.46999999999997
100,1.062125087644357e-16,404.515
101,1.062004409734815e-16,404.55999999999995
102,1.0618838626334392e-16,404.60499999999996
103,1.061763785654645e-16,404.65
104,1.061643772932494e-16,404.695
105,1.06152391691787e-16,404.73999999999995
106,1.0614041094235678e-16,404.78499999999997
107,1.0612847091065645e-16,404.83
108,1.0611655300815722e-16,404.87499999999994
109,1.0610465405481078e-16,404.91999999999996
110,1.0609277857480942e-16,404.965
111,1.0606484680223072e-16,405.00999999999993
112,1.0599378138114324e-16,405.05499999999995
113,1.0592037793620443e-16,405.09999999999997
114,1.058471975536118e-16,405.145
115,1.0577405516767693e-16,405.18999999999994
116,1.0570092766567873e-16,405.23499999999996
117,1.0562780619593685e-16,405.28
118,1.0555486077628306e-16,405.32499999999993
119,1.0548205747527573e-16,405.37
120,1.0540931318547113e-16,405.41499999999996
121,1.0533667747627953e-16,405.4599999999999
122,1.0526404412753603e-16,405.505
123,1.0519141077879256e-16,405.54999999999995
124,1.0511879991987409e-16,405.59499999999997
125,1.0504640845149372e-16,405.64
126,1.0497407517471603e-16,405.68499999999995
127,1.0490186405112792e-16,405.72999999999996
128,1.0482971931514286e-16,405.775
129,1.047577072232279e-16,405.82
130,1.0468585944472848e-16,405.86499999999995
131,1.0461401212520506e-16,405.90999999999997
132,1.0454216480568168e-16,405.955
133,1.0447033607468716e-16,405.99999999999994
134,1.0439861887486573e-16,406.04499999999996
135,1.0432693255757369e-16,406.09
136,1.0425546949933198e-16,406.13499999999993
137,1.0418408954853403e-16,406.17999999999995
138,1.0411270959773611e-16,406.22499999999997
139,1.0404132964693816e-16,406.27
140,1.0397005296574499e-16,406.31499999999994
141,1.0389896630062449e-16,406.35999999999996
142,1.0382791550120169e-16,406.405
143,1.0375699006780066e-16,406.44999999999993
144,1.036860887306407e-16,406.495
145,1.0361529708874979e-16,406.53999999999996
146,1.0354453528030021e-16,406.5849999999999
147,1.0347386847988705e-16,406.63
148,1.0340325331427625e-16,406.67499999999995
149,1.0333269499612406e-16,406.71999999999997
150,1.032622070980071e-16,406.765
151,1.0319176372056413e-16,406.80999999999995
152,1.0312143941461467e-16,406.85499999999996
153,1.0305115884252326e-16,406.9
154,1.0298110133277803e-16,406.945
155,1.0290415128177238e-16,406.98999999999995
156,1.0270135754610769e-16,407.03499999999997
157,1.0245172471737993e-16,407.08
158,1.0220416927969171e-16,407.12499999999994
159,1.0195829084203238e-16,407.16999999999996
160,1.0171356312282593e-16,407.215
161,1.0147095272557267e-16,407.25999999999993
162,1.0122890008253701e-16,407.30499999999995
163,1.0098886896660233e-16,407.34999999999997
164,1.0074933423323433e-16,407.395
165,1.0051262023535581e-16,407.43999999999994
166,1.0027666541660021e-16,407.48499999999996
167,1.0004278720206793e-16,407.53
168,9.981003757678767e-17,407.57499999999993
169,9.957896495153623e-17,407.62
170,9.934996971732423e-17,407.66499999999996
171,9.912168946940105e-17,407.7099999999999
172,9.889531436537335e-17,407.755
173,9.866944780677713e-17,407.79999999999995
174,9.844600306794e-17,407.84499999999997
175,9.822310457613597e-17,407.89
176,9.800279588931485e-17,407.93499999999995
177,9.778345541241022e-17,407.97999999999996
178,9.756560549291813e-17,408.025
179,9.734895884463322e-17,408.07
180,9.71335809372065e-17,408.11499999999995
181,9.692053751295903e-17,408.15999999999997
182,9.670813986797324e-17,408.205
183,9.649809283589546e-17,408.24999999999994
184,9.62885245158076e-17,408.29499999999996
185,9.608127546712222e-17,408.34
186,9.58746568875698e-17,408.38499999999993
187,9.5670033476781e-17,408.42999999999995
188,9.54664943968421e-17,408.47499999999997
189,9.526436702879193e-17,408.52
190,9.506398842495002e-17,408.56499999999994
191,9.486442915887379e-17,408.60999999999996
192,9.466705783149003e-17,408.655
193,9.447019468891371e-17,408.69999999999993
194,9.427565776794811e-17,408.745
195,9.408164542379061e-17,408.78999999999996
196,9.38901186970592e-17,408.8349999999999
197,9.369952100336251e-17,408.88
198,9.351027302700786e-17,408.92499999999995
199,9.332211462694319e-17,408.96999999999997
200,9.306257480080065e-17,409.015
201,9.267169315067444e-17,409.05999999999995
202,9.227876548379824e-17,409.10499999999996
203,9.188903465047706e-17,409.15
204,9.149995280924949e-17,409.195
205,9.111400511856583e-17,409.23999999999995
206,9.072890981192133e-17,409.28499999999997
207,9.034652902060147e-17,409.33
208,8.996562350934957e-17,409.37499999999994
209,8.958657501507875e-17,409.41999999999996
210,8.920982690862557e-17,409.465
211,8.88341656246063e-17,409.50999999999993
212,8.846140670824032e-17,409.55499999999995
213,8.80894183798299e-17,409.59999999999997
214,8.772109464710776e-17,409.645
215,8.735350543993899e-17,409.68999999999994
216,8.698816370720983e-17,409.73499999999996
217,8.662366599859937e-17,409.7799999999999
218,8.626182077798201e-17,409.825
219,8.59021168116397e-17,409.87
220,8.554349717614722e-17,409.91499999999996
221,8.518687270941834e-17,409.9599999999999
222,8.483116432604354e-17,410.00499999999994
223,8.447890350826634e-17,410.05
224,8.412728525691934e-17,410.09499999999997
225,8.37784877410619e-17,410.14
226,8.343045707578365e-17,410.18499999999995
227,8.308485590172097e-17,410.2299999999999
228,8.274057510331828e-17,410.275
229,8.239797130494525e-17,410.32
230,8.205744489761165e-17,410.36499999999995
231,8.17178827988983e-17,410.40999999999997
232,8.13808956212312e-17,410.4549999999999
233,8.104450963658304e-17,410.5
234,8.071088006521413e-17,410.54499999999996
235,8.037787791406605e-17,410.59
236,8.004792696993805e-17,410.63499999999993
237,7.971911618781444e-17,410.67999999999995
238,7.939186638313785e-17,410.725
239,7.90658766971278e-17,410.77
240,7.87413696675858e-17,410.81499999999994
241,7.841959072594511e-17,410.85999999999996
242,7.809852165628898e-17,410.9049999999999
243,7.778002259007826e-17,410.95
244,7.751745893155652e-17,410.995
245,7.779798087928658e-17,411.03999999999996
246,7.821608410216672e-17,411.0849999999999
247,7.863904630747793e-17,411.12999999999994
248,7.906464926411127e-17,411.175
249,7.949353989876674e-17,411.21999999999997
250,7.992650315879325e-17,411.265
251,8.036143913054231e-17,411.30999999999995
252,8.080164401587737e-17,411.3549999999999
253,8.12430923656064e-17,411.4
254,8.169026067121324e-17,411.445
255,8.213864293561179e-17,411.48999999999995
256,8.259175829187573e-17,411.53499999999997
257,8.304664929522918e-17,411.5799999999999
258,8.350646970104994e-17,411.625
259,8.397026942897251e-17,411.66999999999996
260,8.443648861620616e-17,411.715
261,8.490715960857226e-17,411.75999999999993
262,8.537965693209423e-17,411.80499999999995
263,8.585898670380294e-17,411.85
264,8.633956466079999e-17,411.895
265,8.682548634447444e-17,411.93999999999994
266,8.731287786607239e-17,411.98499999999996
267,8.780565770058978e-17,412.0299999999999
268,8.830136596604264e-17,412.075
269,8.880091143495072e-17,412.12
270,8.930521025623709e-17,412.16499999999996
271,8.981181057999709e-17,412.2099999999999
272,9.032455796960747e-17,412.25499999999994
273,9.083875385475734e-17,412.3
274,9.135960974424404e-17,412.34499999999997
275,9.188187970606769e-17,412.39
276,9.240967160840087e-17,412.43499999999995
277,9.293953513178922e-17,412.4799999999999
278,9.347516136139527e-17,412.525
279,9.401543960802987e-17,412.57
280,9.455853563959388e-17,412.61499999999995
