name,mw3,emw3,mw3_exp,emw3_exp,mw3_ap,emw3_ap
SJUSHR8154,9.06726,0.0392471,8.65909,0.210083,9.46863,0.00204754
SJUSHR8155,9.12272,0.0630148,9.162,0.0277473,9.58415,0.00195789
SJUSHR8156,10.0159,0.248338,10.2872,0.0452508,10.4157,0.00751877
SJUSHR8157,0,0,10.2605,0.260112,13.9107,0.0947556
SJUSHR8158,11.8475,0.819612,11.651,0.146439,12.0664,0.0341463
SJUSHR8159,9.81067,0.0777382,9.71702,0.0861854,10.379,0.00308418
SJUSHR8160,8.81598,0.868597,10.0356,0.0507985,9.88421,0.00761223
SJUSHR8161,12.139,0.508359,8.62488,0.115732,12.2737,0.0287428
SJUSHR8162,11.9572,0.341211,10.0901,0.318498,12.1186,0.0232162
SJUSHR8163,11.7277,0.0800818,11.2044,0.0340587,11.7708,0.0192156
SJUSHR8164,10.5992,0.0596884,10.4952,0.0441091,10.7017,0.00764084
SJUSHR8165,10.1041,0.0673746,9.73077,0.0191915,10.5252,0.00395679
SJUSHR8166,9.38729,0.01802,9.22688,0.116598,9.59721,0.00192356
SJUSHR8167,10.5009,3.88573,9.44561,0.0142801,11.4763,0.0300293
SJUSHR8168,11.9403,0.181469,11.0055,0.0729699,12.4152,0.0466547
SJUSHR8169,11.2443,0.11901,11.1707,0.0288416,11.4694,0.0084157
SJUSHR817,7.23071,0.0117949,6.91876,0.234424,7.37964,0.00137997
SJUSHR8170,9.5227,0.0582314,9.4046,0.0522433,9.73895,0.00308609
SJUSHR8171,0,0,0,0,0,0
SJUSHR8172,0,0,0,0,0,0
SJUSHR8173,0,0,0,0,15.5888,0.506386
SJUSHR8174,11.1046,0.0999283,10.4998,0.0937125,11.2174,0.0150747
SJUSHR8175,11.195,2.45909,0,0,11.5466,0.0619392
SJUSHR8176,9.81021,0.0410586,9.74808,0.0553419,9.86229,0.00672817
SJUSHR8177,0,0,0,0,0,0
SJUSHR8178,0,0,0,0,0,0
SJUSHR8179,10.4238,0.722771,10.1492,0.0247166,11.317,0.0116167
SJUSHR818,6.71061,0.00535727,6.73848,0.0042729,7.03315,0.000680923
SJUSHR8180,11.4169,2.3386,0,0,11.9167,0.0529747
SJUSHR8181,11.0931,0.349699,7.37415,0.0118819,11.2268,0.0275879
SJUSHR8182,0,0,0,0,13.2683,0.127023
SJUSHR8183,0,0,0,0,#NAME?,NaN
SJUSHR8184,12.8811,1.26057,11.983,0.548641,13.0779,0.0842447
SJUSHR8185,0,0,0,0,0,0
SJUSHR8186,13.4125,2.18515,0,0,13.3715,0.162633
SJUSHR8187,0,0,0,0,#NAME?,NaN
SJUSHR8188,0,0,0,0,0,0
SJUSHR8189,19.2682,1.00E+33,0,0,13.8795,0.209165
SJUSHR819,10.363,0.11461,10.3898,0.175029,10.3272,0.0233498
SJUSHR8190,10.9088,0.196453,9.97754,0.333582,11.1768,0.0163975
SJUSHR8191,10.7644,0.799576,6.57347,0.21072,11.3358,0.0219226
SJUSHR8192,11.4434,0.901913,10.7452,0.0485834,11.6761,0.0495701
SJUSHR8193,10.1641,4.18681,9.75317,0.441354,11.3438,0.0280752
SJUSHR8194,12.4951,0.98654,10.6691,0.208686,12.6572,0.0773258
SJUSHR8195,14.4002,3.56922,18.3972,0.544603,14.4964,0.168764
SJUSHR8196,0,0,11.4554,0.146131,12.5131,0.0870819
SJUSHR8197,11.3269,0.567168,7.2486,0.403191,11.381,0.0327969
SJUSHR8198,10.4106,6.27593,11.7608,1.99908,12.5632,0.0447464
SJUSHR8199,0,0,0,0,0,0
SJUSHR82,0,0,8.38843,0.224465,8.60909,0.00294113
SJUSHR820,0,0,9.89783,0.00361235,9.84519,0.0148745
SJUSHR8200,0,0,0,0,0,0
SJUSHR8201,0,0,0,0,#NAME?,NaN
SJUSHR8202,0,0,0,0,0,0
SJUSHR8203,0,0,0,0,0,0
SJUSHR8204,12.2406,1.73281,11.2983,0.0948456,12.394,0.0387239
SJUSHR8205,0,0,0,0,0,0
SJUSHR8206,0,0,0,0,0,0
SJUSHR8207,12.7988,1.00E+33,9.89062,0.257588,13.2379,0.118458
SJUSHR8208,0,0,0,0,0,0
SJUSHR8209,12.0135,1.20535,0,0,12.1309,0.0743418
SJUSHR821,8.76337,0.03292,8.72892,0.0029205,8.74109,0.00538826
SJUSHR8210,14.008,0.302536,0,0,14.0276,0.192907
SJUSHR8211,0,0,10.3376,0.0619674,12.7165,0.125082
SJUSHR8212,13.3398,0.456826,0,0,13.3614,0.101065
SJUSHR8213,12.1402,12.7476,8.20791,3.41306,12.2877,0.0397787
SJUSHR8214,11.2659,0.502442,10.3432,0.111298,11.4267,0.0275059
SJUSHR8215,12.732,121.078,10.2872,0.279718,12.8187,0.0611324
SJUSHR8216,11.5534,0.448352,11.5311,0.0978249,11.6434,0.0482707
SJUSHR8217,0,0,0,0,15.2477,0.694455
SJUSHR8218,0,0,10.8907,0.0511143,#NAME?,NaN
SJUSHR8219,0,0,0,0,14.9792,0.543049
SJUSHR822,9.5706,0.038377,8.8406,0.0441273,9.60863,0.00803471
SJUSHR8220,0,0,0,0,0,0
SJUSHR8221,0,0,0,0,0,0
SJUSHR8222,0,0,0,0,#NAME?,NaN
SJUSHR8223,14.4987,1.00E+33,0,0,15.2357,0.443443
SJUSHR8224,0,0,11.1285,0.311955,11.8611,0.0469484
SJUSHR8225,0,0,0,0,#NAME?,NaN
SJUSHR8226,11.1184,0.477409,10.2572,0.0600477,11.6245,0.0159936
SJUSHR8227,12.3371,4.36716,0,0,13.1133,0.143055
SJUSHR8228,10.5755,1.07131,0,0,10.4153,0.0359478
SJUSHR8229,11.8937,0.124808,9.65338,0.41803,11.9452,0.0415697
SJUSHR823,8.08015,0.18156,9.18913,0.0580324,8.26031,0.00801277
SJUSHR8230,13.8194,0.584556,0,0,14.4599,0.324846
SJUSHR8231,0,0,0,0,13.3582,0.138789
SJUSHR8232,11.7897,0.336589,10.9658,0.281586,12.1071,0.0213604
SJUSHR8233,10.9977,1.00E+33,0,0,14.8884,0.320163
SJUSHR8234,0,0,11.4464,0.988725,14.621,0.49917
SJUSHR8235,0,0,0,0,0,0
SJUSHR8236,0,0,0,0,#NAME?,NaN
SJUSHR8237,12.079,2.47358,0,0,12.7203,0.0763388
SJUSHR8238,0,0,0,0,15.6828,0.635941
SJUSHR8239,11.0634,2.48757,11.3069,0.184979,12.042,0.0312185
SJUSHR824,11.3749,0.927742,8.87979,0.239883,11.6436,0.0301332
SJUSHR8240,0,0,0,0,15.3978,0.819428
SJUSHR8241,10.5316,0.610138,10.0621,0.00586585,11.0832,0.013813
SJUSHR8242,12.8882,1.00E+33,13.1325,0.527887,13.2082,0.111042
SJUSHR8243,11.951,2.13725,0,0,12.238,0.059516
SJUSHR8244,12.9394,0.59535,11.9229,0.209617,12.972,0.0760641
SJUSHR8245,12.5682,2.19729,0,0,12.7859,0.0701704
SJUSHR8246,0,0,0,0,#NAME?,NaN
SJUSHR8247,12.0688,1.40288,11.134,0.0127112,12.6458,0.0481863
SJUSHR8248,0,0,0,0,#NAME?,NaN
SJUSHR8249,11.9667,0.447591,8.10725,0.207585,11.9924,0.0526237
SJUSHR825,0,0,9.67546,0.0989273,10.7791,0.0337877
SJUSHR8250,12.4155,0.174209,11.4571,0.166032,12.617,0.0702038
SJUSHR8251,13.5534,1.97674,10.512,1.48052,13.9946,0.0978918
SJUSHR8252,12.5875,1.65544,7.71661,1.49232,13.0866,0.0599909
SJUSHR8253,4.79558,3.69493,0,0,10.5621,0.00801659
SJUSHR8254,12.6211,1.0448,10.358,0.00431461,12.7742,0.0803127
SJUSHR8255,11.6656,2.58922,10.0974,0.263626,12.372,0.0253439
SJUSHR8256,12.3231,0.148504,2.10873,0.00267598,12.4216,0.036798
SJUSHR8257,12.9121,1.93287,12.4925,0.274984,13.4018,0.0857849
SJUSHR8258,0,0,0,0,#NAME?,NaN
SJUSHR8259,11.0418,3.07486,11.2665,0.0437579,12.2648,0.0281906
SJUSHR826,6.10717,0.00342264,6.11613,0.0460215,6.12504,0.000433922
SJUSHR8260,12.0307,3.38081,0,0,12.4685,0.0550528
SJUSHR8261,0,0,0,0,0,0
SJUSHR8262,0,0,0,0,#NAME?,NaN
SJUSHR8263,0,0,0,0,0,0
SJUSHR8264,11.401,5.54517,11.8848,0.162099,12.7544,0.0667315
SJUSHR8265,12.451,2.00608,10.8873,0.179133,12.8878,0.0349617
SJUSHR8266,0,0,0,0,0,0
SJUSHR8267,0,0,12.3674,0.429591,14.2014,0.306529
SJUSHR8268,0,0,0,0,#NAME?,NaN
SJUSHR8269,10.9683,0.495298,10.0787,0.0929431,11.7381,0.0139265
SJUSHR827,8.91964,0.0656554,8.80588,0.0414447,8.98986,0.00646496
SJUSHR8270,0,0,0,0,#NAME?,NaN
SJUSHR8271,0,0,0,0,13.6744,0.233015
SJUSHR8272,12.4116,1.94723,9.80993,0.728342,12.9101,0.0559025
SJUSHR8273,11.5911,2.0597,10.8427,0.341371,12.102,0.0373497
SJUSHR8274,12.0134,0.870071,11.3685,0.13759,12.3426,0.0277624
SJUSHR8275,0,0,9.3012,0.73841,12.7691,0.0684457
SJUSHR8276,0,0,0,0,15.0938,0.2588
SJUSHR8277,11.2717,0.779022,9.8337,0.202079,11.892,0.0188837
SJUSHR8278,12.3188,0.77996,11.5699,0.148567,12.4237,0.0420589
SJUSHR8279,12.9337,1.00E+33,11.8343,0.279277,12.8757,0.103832
SJUSHR828,7.16047,0.00375913,7.15025,0.0255315,7.17282,0.00108719
SJUSHR8280,10.521,0.504858,10.3683,0.0922853,10.9701,0.0143757
SJUSHR8281,0,0,0,0,0,0
SJUSHR8282,12.3449,0.244114,9.95327,0.0102603,12.3804,0.042799
SJUSHR8283,11.7077,1.54271,11.1359,0.100174,12.1677,0.0371685
SJUSHR8284,0,0,0,0,#NAME?,NaN
SJUSHR8285,12.0516,2.77765,11.432,0.115626,12.7708,0.0442228
SJUSHR8286,0,0,0,0,0,0
SJUSHR8287,0,0,0,0,0,0
SJUSHR8288,0,0,11.2498,0.180251,13.4737,0.202495
SJUSHR8289,14.4289,1.00E+33,0,0,15.1233,0.438303
SJUSHR829,8.75548,0.0237201,8.69896,0.0334478,8.7912,0.00370598
SJUSHR8290,0,0,0,0,#NAME?,NaN
SJUSHR8291,12.0384,513.765,11.4595,0.0646191,12.2552,0.044076
SJUSHR8292,0,0,0,0,14.173,0.417962
SJUSHR8293,10.836,1.9918,10.1277,0.343433,11.3721,0.0317879
SJUSHR8294,0,0,10.7175,0.0621914,14.3928,0.424385
SJUSHR8295,11.7752,2.11392,10.6302,0.0344337,12.3831,0.0349245
SJUSHR8296,0,0,0,0,0,0
SJUSHR8297,12.5202,3.38056,11.063,0.340052,13.2263,0.145626
SJUSHR8298,12.3391,2.17979,10.9357,0.151773,12.9046,0.0478306
SJUSHR8299,11.1741,0.766295,10.7144,0.141387,11.6105,0.0226727
SJUSHR83,9.63558,0.00740459,9.68656,0.033996,10.2073,0.0270157
SJUSHR830,0,0,0,0,0,0
SJUSHR8300,13.2359,1.00E+33,0,0,13.5207,0.144146
SJUSHR8301,13.9609,0.924471,0,0,14.237,0.144873
SJUSHR8302,0,0,0,0,0,0
SJUSHR8303,13.205,0.835842,11.6848,0.387676,13.3874,0.0687914
SJUSHR8304,12.2222,1.4152,11.3731,0.0816579,12.611,0.0412588
SJUSHR8305,11.8349,0.246696,11.1395,0.0745273,11.9441,0.0274582
SJUSHR8306,0,0,0,0,14.2208,0.180626
SJUSHR8307,12.5285,1.00E+33,11.7869,0.0123834,12.742,0.0949917
SJUSHR8308,12.0295,1.79047,11.8794,0.231982,12.1601,0.0327654
SJUSHR8309,10.6079,0.53357,9.33794,0.0607637,11.8339,0.0110693
SJUSHR831,0,0,10.1746,0.0229619,10.6067,0.0241976
SJUSHR8310,11.7347,0.251284,10.9655,0.185046,11.8198,0.0277786
SJUSHR8311,12.3799,1.40063,11.3984,0.147453,12.6054,0.064888
SJUSHR8312,12.1492,5.13311,11.2629,0.059196,12.6222,0.0391045
SJUSHR8313,11.1271,0.199466,10.4692,0.216651,11.5164,0.0125751
SJUSHR8314,13.5662,0.246226,11.6167,0.00568968,13.7161,0.109387
SJUSHR8315,12.4435,0.74372,11.2046,0.00913656,12.573,0.0236197
SJUSHR8316,12.7522,0.654743,11.6258,0.405566,12.9769,0.0724964
SJUSHR8317,10.9945,0.533213,8.99168,0.206531,11.6981,0.0148544
SJUSHR8318,0,0,0,0,15.0288,0.258186
SJUSHR8319,0,0,0,0,15.7926,0.569631
SJUSHR832,7.96138,0.0116052,7.8921,0.019281,8.04644,0.00148106
SJUSHR8320,12.2067,5.03245,10.927,0.255182,13.0662,0.0380936
SJUSHR8321,11.3862,0.368076,10.4787,0.0520379,11.5433,0.020587
SJUSHR8322,11.4989,2.00963,11.5362,0.114143,11.969,0.0314016
SJUSHR8323,0,0,0,0,0,0
SJUSHR8324,0,0,0,0,0,0
SJUSHR8325,0,0,0,0,0,0
SJUSHR8327,13.3743,1.37079,12.0453,0.333629,13.51,0.0840225
SJUSHR8328,12.2763,0.598452,9.69576,0.592809,12.3279,0.0349035
SJUSHR8329,11.3474,0.821293,9.82491,0.180785,11.6828,0.0217419
SJUSHR833,5.82242,0.00206068,5.8387,0.010874,5.82503,0.00051403
SJUSHR8330,12.8632,1.00E+33,11.4546,0.193612,13.0545,0.0877814
SJUSHR8331,10.9054,0.196579,6.74802,0.915196,11.0805,0.0152893
SJUSHR8332,0,0,0,0,0,0
SJUSHR8333,12.3065,0.157542,8.63355,2.93641,12.3515,0.0268669
SJUSHR8334,0,0,11.5111,0.107505,#NAME?,NaN
SJUSHR8335,10.1938,0.0709063,8.87318,2.05087,10.2703,0.00968266
SJUSHR8336,0,0,0,0,0,0
SJUSHR8337,12.1839,0.62833,11.2405,0.146746,12.2825,0.0373831
SJUSHR8339,11.319,0.28294,10.6558,0.0669261,11.6853,0.0132542
SJUSHR834,7.84882,0.0148335,7.8158,0.025813,7.88712,0.00154877
SJUSHR8340,0,0,0,0,#NAME?,NaN
SJUSHR8341,11.9545,3.14774,6.29508,0.976555,12.7367,0.0546799
SJUSHR8342,13.5349,0.415277,12.1554,0.0264706,13.8738,0.117172
SJUSHR8343,11.3417,0.972951,10.4016,0.259017,12.0425,0.0163784
SJUSHR8344,12.3929,0.104321,11.2197,0.0298416,12.4451,0.0462217
SJUSHR8345,6.20405,52.0785,10.0856,0.200478,12.2512,0.0418606
SJUSHR8346,6.99035,24.2753,0,0,12.9609,0.0530281
SJUSHR8347,0,0,12.5018,0.0807309,12.2778,0.0349884
SJUSHR8348,11.5354,0.656006,11.3769,0.135435,11.9181,0.0215054
SJUSHR8349,0,0,0,0,0,0
SJUSHR835,9.3341,0.0270007,9.31133,0.0198605,9.34283,0.00777721
SJUSHR8350,11.4118,6.21735,4.87808,0.016807,12.4418,0.0201225
SJUSHR8351,0,0,0,0,0,0
SJUSHR8352,11.8836,0.139179,11.3458,0.01392,12.0676,0.0135427
SJUSHR8353,12.4403,0.497648,10.0849,0.84338,12.6273,0.0280313
SJUSHR8354,11.9805,0.246824,9.80321,0.354144,12.0511,0.0223556
SJUSHR8355,11.4205,0.137889,8.49558,0.0401309,11.6616,0.0103855
SJUSHR8356,12.7061,1.19614,10.9137,0.688616,12.918,0.070857
SJUSHR8357,8.41917,0.024546,8.39189,0.0306275,8.45896,0.00279617
SJUSHR8358,0,0,0,0,0,0
SJUSHR8359,0,0,0,0,14.0624,0.217735
SJUSHR836,0,0,9.63297,0.0295753,11.8547,0.12729
SJUSHR8360,0,0,0,0,0,0
SJUSHR8361,0,0,0,0,13.5294,0.147301
SJUSHR8362,0,0,0,0,13.2732,0.145523
SJUSHR8363,0,0,0,0,12.2613,0.0728416
SJUSHR8364,11.3934,0.323517,9.9635,0.186823,11.3375,0.0362139
SJUSHR8365,12.0046,0.831627,0,0,11.8574,0.0477085
SJUSHR8366,11.5899,1.06506,11.1917,0.0106669,11.6485,0.0318098
SJUSHR8367,0,0,0,0,#NAME?,NaN
SJUSHR8368,0,0,0,0,#NAME?,NaN
SJUSHR8369,11.454,4.80675,10.9339,0.404303,12.67,0.0805702
SJUSHR837,8.28915,0.00692169,8.21209,0.0209487,8.26748,0.00266647
SJUSHR8370,0,0,0,0,#NAME?,NaN
SJUSHR8371,11.8985,0.512754,9.26192,0.398714,12.0819,0.0285778
SJUSHR8372,0,0,0,0,13.5388,0.116714
SJUSHR8373,0,0,0,0,0,0
SJUSHR8374,0,0,0,0,#NAME?,NaN
SJUSHR8375,0,0,0,0,13.4169,0.125208
SJUSHR8376,12.5034,0.218892,11.6819,0.0349199,12.5509,0.0967221
SJUSHR8377,0,0,0,0,0,0
SJUSHR8378,0,0,0,0,14.1392,0.316849
SJUSHR8379,0,0,0,0,#NAME?,NaN
SJUSHR838,7.08655,0.00379446,7.09644,0.0139504,7.11642,0.000855446
SJUSHR8380,0,0,0,0,#NAME?,NaN
SJUSHR8381,12.1319,0.150262,11.2284,0.128655,13.8918,0.367861
SJUSHR8382,0,0,0,0,0,0
SJUSHR8383,11.7543,0.926849,10.489,1.33532,12.1206,0.0683517
SJUSHR8384,0,0,0,0,0,0
SJUSHR8385,10.5581,0.102021,9.36981,0.109975,10.6283,0.0184622
SJUSHR8386,12.2289,1.57636,0,0,13.0469,0.148101
SJUSHR8387,0,0,0,0,0,0
SJUSHR8388,0,0,0,0,#NAME?,NaN
SJUSHR8389,0,0,0,0,#NAME?,NaN
SJUSHR839,0,0,10.1866,0.0144252,10.1083,0.0222845
SJUSHR8390,0,0,0,0,#NAME?,NaN
SJUSHR8391,11.0815,3.94749,0,0,11.4832,0.0351486
SJUSHR8392,0,0,0,0,#NAME?,NaN
SJUSHR8393,0,0,0,0,0,0
SJUSHR8394,0,0,0,0,#NAME?,NaN
SJUSHR8395,0,0,0,0,0,0
SJUSHR8396,0,0,0,0,15.2965,0.782996
SJUSHR8397,12.1458,2.78662,10.4092,0.205196,12.4748,0.0276108
SJUSHR8398,0,0,0,0,0,0
SJUSHR8399,13.8684,1.00E+33,8.25965,2.20844,#NAME?,NaN
SJUSHR84,8.30121,0.0157327,8.26941,0.00191249,8.33115,0.00313473
