agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,heiisel,sftoagn
False,False,False,False,False,False,False,ECO03939,True,False
False,False,False,False,False,False,False,ECO03962,True,False
False,True,False,True,False,False,False,ECO03987,True,False
False,False,False,False,False,False,False,ECO04021,True,False
False,False,True,False,False,False,False,ECO04030,True,False
False,False,False,False,False,False,False,ECO04056,True,False
False,False,False,False,False,False,False,ECO04071,True,False
False,False,False,False,False,False,False,ECO04080,True,False
False,False,True,False,False,False,False,ECO04084,True,False
False,False,True,False,False,False,False,ECO04087,True,False
False,False,False,False,False,False,False,ECO04091,True,False
True,False,False,False,False,False,False,ECO04124,False,False
False,True,False,True,False,False,False,ECO04145,True,False
False,False,False,True,False,True,False,ECO04150,True,False
False,False,False,False,False,False,False,ECO04153,True,False
False,False,False,False,False,False,False,ECO04183,True,False
False,False,False,True,False,True,False,ECO04185,True,False
False,False,False,True,False,True,False,ECO04190,False,False
True,False,False,False,False,False,False,ECO04191,True,False
False,False,False,True,False,True,False,ECO04236,True,False
False,False,False,True,True,False,False,ECO04261,True,False
False,False,True,False,False,False,False,ECO04262,True,False
False,False,False,True,False,True,False,ECO04285,False,False
False,False,True,False,False,False,False,ECO04286,True,False
False,False,True,False,False,False,False,ECO04290,True,False
False,False,False,False,False,False,False,ECO04329,True,False
False,False,True,False,False,False,False,ECO04345,True,False
False,False,False,False,False,False,False,ECO04360,True,False
False,False,False,False,False,False,False,ECO04362,True,False
True,False,False,False,False,False,False,ECO04377,True,False
False,False,False,False,False,False,False,ECO04382,True,False
False,False,False,False,False,False,False,ECO04436,True,False
False,False,False,False,False,False,False,ECO04453,True,False
False,False,False,False,False,False,False,ECO04457,True,False
False,False,False,True,False,True,False,ECO04464,False,False
False,False,False,False,False,False,False,ECO04510,True,False
False,False,False,False,False,False,False,ECO04512,True,False
False,False,False,False,False,False,False,ECO04520,True,False
False,False,True,False,False,False,False,ECO04538,True,False
False,False,False,False,False,False,False,ECO04540,True,False
False,False,False,False,False,False,False,ECO04550,True,False
False,False,False,False,False,False,True,ECO04556,False,False
False,False,False,False,False,False,False,ECO04584,True,False
False,False,False,False,False,False,False,ECO04598,True,False
False,False,False,False,False,False,False,ECO04616,True,False
False,False,False,False,False,False,False,ECO04618,True,False
False,False,False,False,False,False,False,ECO04626,True,False
False,False,True,False,False,False,False,ECO04641,True,False
False,False,False,False,False,False,False,ECO04684,True,False
False,False,False,False,False,False,False,ECO04697,True,False
False,False,False,False,False,False,False,ECO04721,True,False
False,False,False,False,False,False,False,ECO04743,True,False
False,False,False,True,False,True,False,ECO04776,True,False
False,False,False,False,False,False,False,ECO04787,True,False
False,False,False,True,True,False,False,ECO04800,True,False
False,False,False,False,False,False,False,ECO04804,True,False
False,True,False,True,False,False,False,ECO04830,False,False
False,False,False,False,False,False,False,ECO04858,True,False
False,False,True,False,False,False,False,ECO04888,False,False
False,False,False,False,False,False,True,ECO04892,False,False
False,False,False,False,False,False,False,ECO04900,True,False
False,False,True,False,False,False,False,ECO04911,True,False
False,False,False,False,False,False,False,ECO04918,True,False
False,False,True,False,False,False,False,ECO04920,False,False
False,False,False,False,False,False,False,ECO04941,True,False
True,False,False,False,False,False,False,ECO04954,True,False
False,False,False,False,False,False,True,ECO04958,False,False
False,False,False,False,False,False,False,ECO04995,True,False
False,False,True,False,False,False,False,ECO05001,True,False
False,True,False,True,False,False,False,ECO05027,True,False
False,False,False,False,False,False,False,ECO05045,True,False
False,False,False,False,False,False,False,ECO05053,True,False
False,False,False,False,False,False,False,ECO05088,True,False
False,False,False,False,False,False,False,ECO05107,True,False
False,False,False,False,False,False,False,ECO05134,True,False
False,False,False,True,False,True,False,ECO05139,True,False
False,False,False,True,True,False,False,ECO05143,True,False
False,False,False,False,False,False,False,ECO05148,True,False
False,False,False,True,False,True,False,ECO05174,False,False
False,False,False,False,False,False,False,ECO05192,True,False
False,False,False,False,False,False,False,ECO05206,True,False
False,False,False,False,False,False,False,ECO05220,True,False
False,False,False,False,False,False,False,ECO05223,True,True
False,False,False,False,False,False,False,ECO05224,True,False
False,False,True,False,False,False,False,ECO05228,True,False
False,False,True,False,False,False,False,ECO05229,True,False
False,False,False,False,False,False,False,ECO05234,True,False
False,False,True,False,False,False,False,ECO05262,False,False
False,False,False,False,False,False,False,ECO05289,True,False
False,False,False,False,False,False,False,ECO05306,True,False
False,False,False,False,False,False,True,ECO05309,False,False
False,False,False,False,False,False,False,ECO05310,True,False
False,False,True,False,False,False,False,ECO05326,True,False
False,False,False,False,False,False,False,ECO05328,True,False
False,False,False,False,False,False,False,ECO05348,True,False
False,False,True,False,False,False,False,ECO05385,True,False
False,False,True,False,False,False,False,ECO05405,True,False
False,False,False,False,False,False,True,ECO05408,False,False
False,False,False,False,False,False,False,ECO05442,True,False
False,False,True,False,False,False,False,ECO05459,True,False
False,False,False,False,False,False,False,ECO05485,True,False
False,False,False,False,False,False,False,ECO05493,True,False
False,False,False,False,False,False,False,ECO05559,True,False
False,False,False,False,False,False,False,ECO05564,True,False
False,False,False,False,False,False,False,ECO05566,True,False
False,False,False,True,False,True,False,ECO05575,True,False
False,False,True,False,False,False,False,ECO05584,True,False
False,False,False,False,False,False,False,ECO05597,True,False
False,False,False,True,False,True,False,ECO05618,False,False
False,False,False,False,False,False,False,ECO05625,True,False
False,False,False,False,False,False,False,ECO05636,True,False
False,False,False,False,False,False,False,ECO05659,True,False
False,False,False,False,False,False,False,ECO05682,True,False
False,False,False,False,False,False,True,ECO05689,False,False
False,False,False,False,False,False,False,ECO05702,True,False
False,False,False,True,True,False,False,ECO05770,True,False
False,False,False,False,False,False,False,ECO05777,True,False
False,False,False,False,False,False,False,ECO05815,True,False
False,False,False,False,False,False,False,ECO05816,True,False
False,False,False,True,False,True,False,ECO05818,False,False
False,False,False,True,True,False,False,ECO05841,False,False
False,False,False,True,False,True,False,ECO05913,False,False
False,False,False,False,False,False,False,ECO05915,True,False
False,False,False,False,False,False,False,ECO05919,True,False
False,False,False,False,False,False,False,ECO05925,True,False
False,False,False,False,False,False,False,ECO05934,True,False
False,False,False,False,False,False,False,ECO05945,True,True
False,False,False,False,False,False,False,ECO05971,True,False
False,False,False,False,False,False,False,ECO05986,True,False
False,False,False,False,False,False,False,ECO06019,True,False
False,False,False,True,True,False,False,ECO06026,True,False
False,False,False,False,False,False,False,ECO06033,True,False
False,False,True,False,False,False,False,ECO06049,True,False
False,False,False,False,False,False,False,ECO06080,True,False
False,False,False,False,False,False,False,ECO06094,True,False
True,False,False,False,False,False,False,ECO06199,True,False
False,False,False,False,False,False,False,ECO06210,True,False
False,False,False,False,False,False,False,ECO06217,True,False
False,False,False,False,False,False,False,ECO06247,True,False
False,False,False,False,False,False,False,ECO06263,True,False
False,False,False,False,False,False,False,ECO06264,True,False
False,False,False,True,False,True,False,ECO06270,True,False
False,False,False,True,False,True,False,ECO06273,False,False
False,False,False,False,False,False,False,ECO06275,True,False
False,False,False,False,False,False,False,ECO06276,True,False
False,False,False,False,False,False,False,ECO06316,True,False
False,False,False,False,False,False,False,ECO06317,True,False
False,False,True,False,False,False,False,ECO06318,True,False
True,False,False,False,False,False,False,ECO06320,True,False
False,False,False,False,False,False,False,ECO06350,True,False
False,False,False,False,False,False,True,ECO06360,False,False
False,False,False,False,False,False,False,ECO06363,True,False
False,False,True,False,False,False,False,ECO06368,True,False
False,True,False,True,False,False,False,ECO06378,True,False
False,False,False,False,False,False,False,ECO06382,True,False
False,False,False,True,False,True,False,ECO06391,True,False
False,False,True,False,False,False,False,ECO06400,True,False
False,False,True,False,False,False,False,ECO06412,False,False
False,False,False,False,False,False,False,ECO06426,True,False
False,False,True,False,False,False,False,ECO06427,True,False
False,False,False,False,False,False,False,ECO06428,True,False
False,False,False,False,False,False,True,ECO06447,False,False
False,False,False,False,False,False,False,ECO06448,True,False
False,False,True,False,False,False,False,ECO06449,False,False
False,False,False,False,False,False,False,ECO06501,True,False
False,False,False,False,False,False,False,ECO06530,True,False
False,False,False,False,False,False,False,ECO06598,True,False
False,False,False,False,False,False,False,ECO06674,True,False
False,False,False,False,False,False,False,ECO06699,True,False
False,False,False,False,False,False,False,ECO06703,True,False
False,False,True,False,False,False,False,ECO06709,True,False
False,False,False,False,False,False,False,ECO06756,True,False
False,False,False,False,False,False,False,ECO06764,True,False
False,False,False,False,False,False,False,ECO06779,True,False
False,False,False,False,False,False,False,ECO06788,True,False
False,False,False,False,False,False,False,ECO06807,True,False
False,False,False,False,False,False,False,ECO06816,True,False
False,False,False,True,False,True,False,ECO06827,True,False
False,False,False,False,False,False,False,ECO06862,True,False
False,False,False,False,False,False,False,ECO06883,True,False
False,False,False,False,False,False,False,ECO06884,True,False
False,False,True,False,False,False,False,ECO06886,True,False
False,False,False,False,False,False,False,ECO06958,True,False
False,False,False,False,False,False,False,ECO06959,True,False
False,False,False,True,False,True,False,ECO06963,True,False
False,False,False,True,False,True,False,ECO06980,False,False
False,False,True,False,False,False,False,ECO07000,True,False
False,False,False,False,False,False,False,ECO07002,True,False
False,False,False,False,False,False,False,ECO07006,True,False
False,False,False,False,False,False,False,ECO07008,True,False
False,False,False,False,False,False,False,ECO07023,True,False
