name,econame,mw3w,mw4w,sfr_nuv,sfr_nuv_wisew,sfr_nuv_err,sfr_nuv_wisew_err
"SJUSHR3527","ECO05590",10.5076,6.47562,1.217139366361465,1.217139366361465,0.000000000000000,0.000000000000000
"SJUSHR3528","ECO05591",9.90299,8.13660,0.7726478955006666,0.8672664537937064,0.1596907550117574,0.1598422235492354
"SJUSHR3529","ECO05592",9.43792,7.45834,0.2323772490274310,0.4067469735122873,0.1126853008514074,0.1127397899201380
"SJUSHR353","ECO05593",8.44778,6.39781,0.5678800833165775,1.080464223802968,0.1103606834428575,0.1115595262323664
"SJUSHR3530","ECO05594",8.86512,6.45909,2.619997253172170,2.948149112673350,1.119439188642070,1.119488788635833
"SJUSHR3531","ECO05595",10.9339,-999.000,0.5598114329374739,-NaN,0.1579297975800420,-NaN
"SJUSHR3532","ECO05596",11.2212,8.59146,0.3708393465045056,0.4112694440352890,0.05082343775323709,0.05097105597857831
"SJUSHR3533","ECO05597",9.60375,8.04164,0.6486829942461318,0.7792658102500022,0.000000000000000,0.01265973587538364
"SJUSHR3534","ECO05598",7.26998,4.98071,6.108876323287416,8.085986662542474,3.913215590987053,3.916449683439549
"SJUSHR3535","ECO05599",8.52852,6.52172,2.188047939372971,2.569563602554551,0.000000000000000,0.02500448882715029
"SJUSHR3536","ECO05600",9.76556,-999.000,0.3699271362205084,-NaN,0.5603061259444057,-NaN
"SJUSHR3537","ECO05601",10.3725,8.26382,0.4422123388538853,0.5119558077492123,0.08084751611328712,0.08091281607862096
"SJUSHR3538","ECO05602",6.56857,4.59250,10.31983710161405,13.56615056481368,4.567110752776800,4.567577058208609
"SJUSHR3539","ECO05603",7.58211,4.31168,1.151879143430003,1.853323860049324,0.4170472380200101,0.4242600337396240
"SJUSHR354","ECO05604",7.87277,6.31855,0.8176397470481223,1.309486184675630,0.000000000000000,0.01908431688659054
"SJUSHR3540","ECO05605",10.3483,8.14287,1.229202463283535,1.292787962711149,0.1801228827037512,0.1801273243663397
"SJUSHR3541","ECO05606",9.44268,8.00890,0.5191232004285460,0.6617627143815121,0.06736847749498361,0.06784843621075959
"SJUSHR3542","ECO05607",11.7043,9.30731,0.3061077725370557,0.3251660068927998,0.000000000000000,0.001962460325589145
"SJUSHR3543","ECO05608",0.00000,8.80958,0.4754035689735251,0.4754035689735251,0.04015199082911505,0.04015199082911505
"SJUSHR3545","ECO05609",10.3785,8.55368,0.2280572602256511,0.2421092521776434,0.000000000000000,0.001164606441438749
"SJUSHR3546","ECO05610",9.75212,8.07387,1.026631356369523,1.180590858686789,0.1754016713038685,0.1761166638392287
"SJUSHR3547","ECO05611",11.2568,-999.000,0.04348121141555907,-NaN,0.03018791037518596,-NaN
"SJUSHR3548","ECO05612",8.58906,7.70941,0.6322791245195156,0.9518154753790644,0.3852245661660665,0.3871622070031323
"SJUSHR355","ECO05613",7.46142,5.41002,6.962060446574689,6.962060446574689,0.000000000000000,0.000000000000000
"SJUSHR3550","ECO05614",8.45689,6.90855,0.4104678475204624,0.4104678475204624,0.000000000000000,0.000000000000000
"SJUSHR3551","ECO05615",9.04606,7.24651,0.6849578006742886,0.9395782200966047,0.000000000000000,0.01642479878658309
"SJUSHR3552","ECO05616",9.49858,7.01532,0.1507769557297655,0.2934705566480086,0.000000000000000,0.009491541285457086
"SJUSHR3553","ECO05617",12.0044,9.62943,0.3133011007615273,0.3133011007615273,0.000000000000000,0.000000000000000
"SJUSHR3554","ECO05618",8.34009,5.89931,0.7813371615868649,1.342847680434789,0.000000000000000,0.04503519182561844
"SJUSHR3555","ECO05619",9.42005,7.74031,0.2579098534790490,0.4075802651840389,0.1174415271745424,0.1175398400624219
"SJUSHR3556","ECO05620",9.32486,8.27641,0.4402915092903554,0.5902636098631406,0.3270138360024557,0.3272290741093465
"SJUSHR3557","ECO05621",9.22067,7.40939,0.6129946385308059,0.7964800025585408,0.3632562034673959,0.3633354286039079
"SJUSHR3558","ECO05622",9.39230,0.00000,0.3089223410597069,0.5037472086958760,0.000000000000000,0.01125283944146246
"SJUSHR3559","ECO05623",9.74886,7.82969,0.3919127641302051,0.4325967340770305,0.000000000000000,0.003647480509121703
"SJUSHR356","ECO05624",9.49381,7.60741,0.9811945418248672,1.174336079262201,1.199226872393050,1.199594601876473
"SJUSHR3560","ECO05625",8.97950,6.67560,1.452689817888244,1.748393060155820,0.000000000000000,0.02833302273513870
"SJUSHR3561","ECO05626",9.89915,8.64937,0.3655176299260089,0.4478895431057505,0.1221380291659579,0.1221666708438307
"SJUSHR3562","ECO05627",7.33645,5.24659,0.4953465140414345,1.513521168360810,0.000000000000000,0.1113990051108323
"SJUSHR3563","ECO05628",7.85689,5.33762,0.4862095379141179,1.652464588888132,0.000000000000000,0.02327297193845025
"SJUSHR3564","ECO05629",8.50290,6.59661,2.360937266944030,2.360937266944030,1.297960016703321,1.297960016703321
"SJUSHR3565","ECO05630",14.2007,10.7371,0.3683940693763988,0.3683940693763988,0.2208863769709051,0.2208863769709051
"SJUSHR3566","ECO05631",9.11880,7.55070,2.264945371720071,2.467024034453382,0.8915948275790805,0.8916685161137413
"SJUSHR3567","ECO05632",13.8195,11.3586,0.1447025325402382,0.1447025325402382,0.01384735988743565,0.01384735988743565
"SJUSHR3568","ECO05633",8.80037,7.40690,0.4706569768241440,0.7309358241637480,0.000000000000000,0.02213386642393422
"SJUSHR3569","ECO05634",0.00000,6.10533,0.3141156581902670,0.3141156581902670,0.000000000000000,0.000000000000000
"SJUSHR357","ECO05635",6.83727,5.32696,5.359514029864530,6.403580682675687,1.952302914622007,1.952758479529138
"SJUSHR3570","ECO05636",10.3177,0.00000,0.7923119353424265,0.8847802310747450,0.000000000000000,0.006574843844649709
"SJUSHR3571","ECO05637",0.00000,0.00000,0.2599485637330857,0.2599485637330857,0.1826305353490779,0.1826305353490779
"SJUSHR3572","ECO05638",0.00000,0.00000,0.7608031192763014,0.7608031192763014,0.3316531267699694,0.3316531267699694
"SJUSHR3573","ECO05639",9.57584,0.00000,0.1826554802062763,0.3645549073477159,0.1272000383623171,0.1278888359214808
"SJUSHR3574","ECO05640",10.1502,8.26326,1.550293338865208,1.653513023768484,0.000000000000000,0.004748471355725946
"SJUSHR3575","ECO05641",9.20165,7.44611,0.9913649322487007,1.176374158640118,0.000000000000000,0.01093615966060022
