composite,defagn,defstarform,galname
False,False,True,ECO00310
False,False,True,ECO00311
False,False,True,ECO00312
False,False,True,ECO00313
False,False,True,ECO00314
False,False,True,ECO00315
False,False,True,ECO00316
False,False,True,ECO00318
False,False,True,ECO00319
False,False,True,ECO00320
False,False,True,ECO00321
False,False,True,ECO00322
False,False,True,ECO00323
False,False,True,ECO00324
False,False,True,ECO00325
False,False,True,ECO00326
False,False,True,ECO00327
False,False,True,ECO00328
False,False,True,ECO00329
False,False,True,ECO00330
False,False,True,ECO00331
False,False,True,ECO00332
False,False,True,ECO00333
False,False,True,ECO00334
False,False,True,ECO00335
False,False,True,ECO00336
False,False,True,ECO00337
False,False,True,ECO00338
False,False,True,ECO00339
False,False,True,ECO00340
False,False,True,ECO00342
False,False,True,ECO00344
False,False,True,ECO00345
False,False,True,ECO00346
False,False,True,ECO00347
False,False,True,ECO00348
False,False,True,ECO00349
False,False,True,ECO00350
False,False,True,ECO00351
False,False,True,ECO00352
False,False,True,ECO00353
False,False,True,ECO00354
False,False,True,ECO00355
False,False,True,ECO00356
False,False,True,ECO00357
False,False,True,ECO00358
False,False,True,ECO00359
False,False,True,ECO00360
False,False,True,ECO00361
False,False,True,ECO00362
False,False,True,ECO00363
False,False,True,ECO00364
False,False,True,ECO00366
False,False,True,ECO00368
False,False,True,ECO00369
False,False,True,ECO00370
False,False,True,ECO00371
False,False,True,ECO00372
False,False,True,ECO00373
False,False,True,ECO00374
False,False,True,ECO00375
False,False,True,ECO00376
False,False,True,ECO00378
False,False,True,ECO00379
False,False,True,ECO00380
False,False,True,ECO00381
False,False,True,ECO00382
False,False,True,ECO00383
False,False,True,ECO00384
False,False,True,ECO00385
False,False,True,ECO00386
False,False,True,ECO00388
False,False,True,ECO00389
False,False,True,ECO00390
False,False,True,ECO00391
False,False,True,ECO00392
False,False,True,ECO00393
False,False,True,ECO00394
False,False,True,ECO00395
False,False,True,ECO00396
False,False,True,ECO00397
False,False,True,ECO00398
False,False,True,ECO00400
False,False,True,ECO00401
False,False,True,ECO00402
False,False,True,ECO00403
False,False,True,ECO00404
False,False,True,ECO00405
False,False,True,ECO00406
False,False,True,ECO00407
False,False,True,ECO00409
False,False,True,ECO00410
False,False,True,ECO00411
False,False,True,ECO00412
False,False,True,ECO00413
False,False,True,ECO00414
False,False,True,ECO00415
False,False,True,ECO00416
False,False,True,ECO00417
False,False,True,ECO00418
False,False,True,ECO00419
False,False,True,ECO00420
False,False,True,ECO00421
False,False,True,ECO00422
False,False,True,ECO00423
False,False,True,ECO00424
False,False,True,ECO00425
