name,mw3,emw3,mw3_exp,emw3_exp,mw3_ap,emw3_ap
"SJUSHR3596",10.1817,0.0946588,9.76069,0.120516,10.3084,0.0104218
"SJUSHR3597",9.50979,0.0340605,9.37677,0.0621941,9.55808,0.00509262
"SJUSHR3598",11.0125,0.143156,9.35729,0.0234863,11.0901,0.0192766
"SJUSHR3599",9.64785,0.0294015,9.45392,0.0386195,9.68821,0.00788784
"SJUSHR36",0.00000,0.00000,9.63714,0.0287003,10.3663,0.0425072
"SJUSHR360",8.86574,0.0140470,8.82993,0.0120125,8.88242,0.00379658
"SJUSHR3600",11.2666,0.0802296,10.5438,0.154151,11.3567,0.0251141
"SJUSHR3601",11.0419,0.138454,10.1504,0.215249,11.0119,0.0258226
"SJUSHR3602",0.00000,0.00000,10.1155,0.0547277,10.3445,0.0110731
"SJUSHR3603",8.96999,0.0243762,8.92587,0.0386580,9.00391,0.00419617
"SJUSHR3604",8.19726,0.0243436,8.05554,0.0681916,8.35165,0.00177956
"SJUSHR3605",10.0290,0.0983344,9.84703,0.0192977,10.2585,0.00741863
"SJUSHR3606",9.52360,0.171610,9.32893,0.0600705,10.1312,0.00580978
"SJUSHR3607",8.03672,0.00835613,7.98214,0.0108182,8.06436,0.00215340
"SJUSHR3608",10.0134,0.0490188,9.24439,0.00669361,9.97808,0.0183544
"SJUSHR3609",11.3974,0.0985330,10.8354,0.164674,11.4338,0.0156903
"SJUSHR361",9.00572,0.0122192,8.90259,0.0359389,9.04806,0.00349331
"SJUSHR3610",8.11030,0.0153392,8.05596,0.0100671,8.19995,0.00182724
"SJUSHR3611",9.14330,0.0852314,9.12991,0.0250405,9.44081,0.00464439
"SJUSHR3612",9.06595,0.0380228,8.79675,0.00134652,9.25136,0.00249100
"SJUSHR3613",9.66883,0.170274,9.93776,0.0221967,9.83310,0.00887012
"SJUSHR3614",10.2418,0.0708850,9.19231,0.0133160,10.2992,0.0128355
"SJUSHR3615",12.7899,0.362753,9.49409,0.0193676,12.8289,0.0713129
"SJUSHR3616",12.3320,1.00000e+33,8.95242,0.0256115,12.6891,0.0820303
"SJUSHR3617",9.95286,0.0790721,9.35179,0.0176025,10.0920,0.00955868
"SJUSHR3618",9.53327,0.0419484,9.51546,0.0292982,9.60528,0.00585365
"SJUSHR3619",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"SJUSHR362",0.00000,0.00000,7.61821,0.176536,11.3270,0.0566101
"SJUSHR3620",9.41159,0.0632653,9.32549,0.0701694,9.57884,0.00565624
"SJUSHR3621",10.4867,0.0551201,10.1122,0.0407132,10.5557,0.0105972
"SJUSHR3622",10.6003,0.0896493,9.85819,0.204424,10.6501,0.0159788
"SJUSHR3623",9.21963,0.0221039,9.11360,0.0668073,9.23739,0.00559902
"SJUSHR3624",11.1289,0.0642523,9.68740,0.0752898,11.2372,0.0488710
